pop1,pop2,fst,distance_km,tave_prism_diff,ppt_spring_prism_diff
BR,AV,0.049539144,54.04063514,0.516905444,11.61146552
CH,AV,0.062859204,301.6610732,0.563896848,3.9475
H2,AV,0.174613799,532.3103596,0.092550144,19.44094828
LG,AV,0.161429052,628.1627979,2.049283668,18.84034483
MC,AV,0.185988827,528.4531142,0.528080229,18.26094828
AY,AX,0.220481074,336.0544315,2.861031518,1.03603449
AZ,AX,0.186461872,179.3470651,1.173925501,0.57672413
BA,AX,0.232742489,350.3515839,2.923209169,11.80672414
BB,AX,0.242306376,364.2984954,3.456160458,11.45284483
BC,AX,0.203160927,346.1244232,3.701432665,10.10637931
BD,AX,0.20775177,356.3596796,1.909455587,6.38008621
BE,AX,0.15785749,319.4840532,3.092836676,5.29112069
BF,AX,0.17154972,254.4718358,1.728939828,10.99413793
BG,AX,0.183131254,349.142251,3.257879656,3.6737931
BH,AX,0.218538782,351.8043725,2.082234957,1.26336207
BI,AX,0.194275433,339.8601109,1.975071633,2.545
BK,AX,0.087943697,327.5681213,1.790830945,3.06094828
BM,AX,0.193720744,312.6808402,2.573065902,15.90818966
BN,AX,0.207652893,315.6402203,2.516618911,15.51663794
BO,AX,0.189438132,358.6400767,1.201719198,0.33163793
BR,AX,0.186939839,315.2460832,1.958739255,16.18879311
CH,AX,0.09531682,81.99661071,0.877936963,0.62982759
H2,AX,0.133975942,233.3509012,1.349283667,24.01827587
LG,AX,0.139100402,282.0347258,0.607449857,23.41767242
MC,AX,0.148725257,239.2732811,0.913753582,22.83827587
AZ,AY,0.071388314,211.8340751,1.687106017,1.61275862
BA,AY,0.063513771,34.73807279,0.062177651,10.77068965
BB,AY,0.084275485,53.94390543,0.59512894,10.41681034
BC,AY,0.055087769,37.36523228,0.840401147,9.07034482
BD,AY,0.048828668,23.86265059,0.951575931,5.34405172
BE,AY,0.11119086,365.6393728,0.231805158,4.2550862
BF,AY,0.116863178,255.2394909,1.13209169,12.03017242
BG,AY,0.150883276,415.3649989,0.396848138,4.70982759
BH,AY,0.127053635,390.9407646,0.778796561,0.22732758
BI,AY,0.079745035,190.9135808,0.885959885,1.50896551
BK,AY,0.043680792,302.3106507,1.070200573,2.02491379
BM,AY,0.053513892,57.58960536,0.287965616,14.87215517
BN,AY,0.060330709,48.98901589,0.344412607,14.48060345
BO,AY,0.052175623,57.60184665,1.65931232,1.36767242
BR,AY,0.049687804,38.10167714,0.902292263,15.15275862
CH,AY,0.055623565,286.7026462,1.983094555,0.4062069
H2,AY,0.166516163,514.4676683,1.511747851,22.98224138
LG,AY,0.149601463,612.4902083,3.468481375,22.38163793
MC,AY,0.173101883,510.6097579,1.947277936,21.80224138
BA,AZ,0.076503068,239.3845785,1.749283668,12.38344827
BB,AZ,0.103428576,258.2365592,2.282234957,12.02956896
BC,AZ,0.066512501,237.8736015,2.527507164,10.68310344
BD,AZ,0.070269237,235.62543,0.735530086,6.95681034
BE,AZ,0.096282209,198.081134,1.918911175,5.86784482
BF,AZ,0.098169946,93.79373614,0.555014327,10.4174138
BG,AZ,0.121901394,243.6176036,2.083954155,3.09706897
BH,AZ,0.110593743,230.6039355,0.908309456,1.8400862
BI,AZ,0.065862104,160.563869,0.801146132,3.12172413
BK,AZ,0.024399392,171.3659984,0.616905444,3.63767241
BM,AZ,0.062166851,219.0861323,1.399140401,16.48491379
BN,AZ,0.077435855,217.0766905,1.34269341,16.09336207
BO,AZ,0.06349115,210.2232103,0.027793697,0.2450862
BR,AZ,0.05913963,210.0827876,0.784813754,16.76551724
CH,AZ,0.032066074,101.3948296,0.295988538,1.20655172
H2,AZ,0.143953929,407.7659915,0.175358166,24.595
LG,AZ,0.125356808,421.585906,1.781375358,23.99439655
