value,rep,sp_nsp,layers
-8.096397,73,nsp,3
-9.57224,73,nsp,4
-4.670683,73,nsp,5
-13.28164,73,sp,1
0,73,sp,2
-4.668114,73,sp,3
-2.848432,73,sp,4
-1.488483,73,sp,5
-66.60444,74,nsp,1
-23.26039,74,nsp,2
-16.71888,74,nsp,3
-12.006,74,nsp,4
-11.49961,74,nsp,5
-19.85671,74,sp,1
-10.15571,74,sp,2
-9.745518,74,sp,3
0,74,sp,4
-13.15046,74,sp,5
-58.66075,75,nsp,1
-13.06315,75,nsp,2
-9.403638,75,nsp,3
-7.916138,75,nsp,4
-4.726923,75,nsp,5
-10.10493,75,sp,1
0,75,sp,2
-0.2752039,75,sp,3
-0.9053009,75,sp,4
-0.5267816,75,sp,5
-53.99718,76,nsp,1
-10.40812,76,nsp,2
-4.896877,76,nsp,3
-1.547157,76,nsp,4
-5.948984,76,nsp,5
-7.862764,76,sp,1
-3.546293,76,sp,2
-3.667263,76,sp,3
-0.6809719,76,sp,4
0,76,sp,5
-59.36534,77,nsp,1
-12.53859,77,nsp,2
-7.003649,77,nsp,3
-6.939642,77,nsp,4
-4.280788,77,nsp,5
-10.49973,77,sp,1
0,77,sp,2
-0.1476645,77,sp,3
-1.221154,77,sp,4
-3.740429,77,sp,5
-59.62474,78,nsp,1
-14.64909,78,nsp,2
-6.327442,78,nsp,3
-8.091763,78,nsp,4
-3.307002,78,nsp,5
-15.57754,78,sp,1
-1.319069,78,sp,2
-3.193887,78,sp,3
0,78,sp,4
-1.960031,78,sp,5
-59.4366,79,nsp,1
-13.7083,79,nsp,2
-10.98118,79,nsp,3
-3.364267,79,nsp,4
-9.129656,79,nsp,5
-12.39954,79,sp,1
-2.835057,79,sp,2
-4.094117,79,sp,3
0,79,sp,4
-5.203084,79,sp,5
-55.81186,80,nsp,1
-12.40454,80,nsp,2
-9.365312,80,nsp,3
-5.323949,80,nsp,4
0,80,nsp,5
-11.86205,80,sp,1
-0.1700097,80,sp,2
-1.89412,80,sp,3
-4.373267,80,sp,4
-0.9646497,80,sp,5
-58.18225,81,nsp,1
-15.46442,81,nsp,2
-7.612236,81,nsp,3
-6.768169,81,nsp,4
-5.043118,81,nsp,5
-12.84799,81,sp,1
-3.24121,81,sp,2
0,81,sp,3
-5.699268,81,sp,4
-3.59182,81,sp,5
-60.15867,82,nsp,1
-15.84984,82,nsp,2
-8.573807,82,nsp,3
-4.742943,82,nsp,4
-3.340827,82,nsp,5
-11.86947,82,sp,1
-2.37443,82,sp,2
0,82,sp,3
-1.735171,82,sp,4
-3.661317,82,sp,5
-54.36297,83,nsp,1
-14.45229,83,nsp,2
-3.565214,83,nsp,3
-4.677654,83,nsp,4
-7.511648,83,nsp,5
-12.14225,83,sp,1
0,83,sp,2
-2.681696,83,sp,3
-3.18343,83,sp,4
-0.7107156,83,sp,5
-57.72063,84,nsp,1
-15.60738,84,nsp,2
-8.613277,84,nsp,3
-6.496746,84,nsp,4
-7.769266,84,nsp,5
-12.9902,84,sp,1
-4.764183,84,sp,2
-1.56197,84,sp,3
0,84,sp,4
-3.334523,84,sp,5
-57.82102,85,nsp,1
-12.55108,85,nsp,2
-9.275121,85,nsp,3
-7.046361,85,nsp,4
-9.793972,85,nsp,5
-13.13412,85,sp,1
0,85,sp,2
-3.946529,85,sp,3
-1.991934,85,sp,4
-0.6132338,85,sp,5
-57.36886,86,nsp,1
-11.01106,86,nsp,2
-8.736268,86,nsp,3
-9.035215,86,nsp,4
-0.7962682,86,nsp,5
-11.83423,86,sp,1
-0.4905996,86,sp,2
-3.112585,86,sp,3
0,86,sp,4
-2.542653,86,sp,5
-55.46402,87,nsp,1
-9.564489,87,nsp,2
-10.44625,87,nsp,3
-4.255452,87,nsp,4
-1.292922,87,nsp,5
-11.77306,87,sp,1
-3.879383,87,sp,2
0,87,sp,3
-0.8932564,87,sp,4
-3.127339,87,sp,5
-58.04013,88,nsp,1
-12.03066,88,nsp,2
0,88,nsp,3
-8.455386,88,nsp,4
-8.121151,88,nsp,5
-14.16089,88,sp,1
-0.2350283,88,sp,2
-3.298992,88,sp,3
-2.164706,88,sp,4
-3.567163,88,sp,5
-55.04549,89,nsp,1
-14.41099,89,nsp,2
-6.122913,89,nsp,3
-5.515848,89,nsp,4
-7.521568,89,nsp,5
-11.87289,89,sp,1
0,89,sp,2
-0.2864831,89,sp,3
-3.073352,89,sp,4
-0.3696287,89,sp,5
-58.19995,90,nsp,1
-15.2337,90,nsp,2
-6.174975,90,nsp,3
-7.023142,90,nsp,4
-4.464464,90,nsp,5
-9.315123,90,sp,1
0,90,sp,2
-3.321574,90,sp,3
-2.255731,90,sp,4
-3.981984,90,sp,5
-58.20194,91,nsp,1
-19.19581,91,nsp,2
-6.779202,91,nsp,3
-11.72229,91,nsp,4
-5.84529,91,nsp,5
-11.86129,91,sp,1
-1.752453,91,sp,2
0,91,sp,3
-4.261259,91,sp,4
-5.535733,91,sp,5
-61.07497,92,nsp,1
-12.79404,92,nsp,2
-9.449622,92,nsp,3
-6.452172,92,nsp,4
-6.56056,92,nsp,5
-15.24246,92,sp,1
-3.428555,92,sp,2
-0.1235291,92,sp,3
-4.773158,92,sp,4
0,92,sp,5
-56.58615,93,nsp,1
-13.63175,93,nsp,2
-12.02919,93,nsp,3
-4.729733,93,nsp,4
-8.234015,93,nsp,5
-10.3766,93,sp,1
-1.479563,93,sp,2
-2.003218,93,sp,3
-3.737843,93,sp,4
0,93,sp,5
-57.40431,94,nsp,1
-14.75625,94,nsp,2
-8.119104,94,nsp,3
-8.463755,94,nsp,4
-2.588231,94,nsp,5
-11.32051,94,sp,1
0,94,sp,2
-1.645723,94,sp,3
-2.506665,94,sp,4
-1.056248,94,sp,5
-56.28419,95,nsp,1
-13.15577,95,nsp,2
-5.374029,95,nsp,3
-6.276076,95,nsp,4
-3.34253,95,nsp,5
-9.707871,95,sp,1
-2.04679,95,sp,2
-2.669086,95,sp,3
-1.326751,95,sp,4
0,95,sp,5
-56.10606,96,nsp,1
-10.12601,96,nsp,2
-4.14776,96,nsp,3
-6.225538,96,nsp,4
-5.678006,96,nsp,5
-12.56571,96,sp,1
0,96,sp,2
-2.776546,96,sp,3
-1.66912,96,sp,4
-2.160897,96,sp,5
-57.35519,97,nsp,1
-15.06775,97,nsp,2
-11.53456,97,nsp,3
-6.28726,97,nsp,4
-4.850541,97,nsp,5
-12.1434,97,sp,1
0,97,sp,2
-2.356026,97,sp,3
-2.09931,97,sp,4
-1.474826,97,sp,5
-57.64681,98,nsp,1
-17.22097,98,nsp,2
-7.137961,98,nsp,3
-5.565728,98,nsp,4
-5.893595,98,nsp,5
-11.90233,98,sp,1
-3.551064,98,sp,2
0,98,sp,3
-1.908442,98,sp,4
-4.672451,98,sp,5
-58.79008,99,nsp,1
-12.01821,99,nsp,2
-6.666132,99,nsp,3
-14.31293,99,nsp,4
-0.9059237,99,nsp,5
-8.034904,99,sp,1
-10.97342,99,sp,2
0,99,sp,3
-5.353613,99,sp,4
-4.455764,99,sp,5
-68.08881,100,nsp,1
-25.40619,100,nsp,2
-20.4631,100,nsp,3
-15.9057,100,nsp,4
0,100,nsp,5
-22.61192,100,sp,1
-12.69484,100,sp,2
-10.53691,100,sp,3
-12.42895,100,sp,4
-7.433965,100,sp,5
